Strain	Code
Diatom;Pinnularia;Pinnularia gibba;PI001A;EF143304;	PI001A
Diatom;Pinnularia;Pinnularia divergens;PI008A;KM350034;	PI008A
Diatom;Pinnularia;Pinnularia grunowii;PINN-03;KM349987;	PINN-03
Diatom;Pinnularia;Pinnularia isselana;PINN-08;KM350000;	PINN-08
Diatom;Pinnularia;Pinnularia neomajor;PINN-05;KM349974;	PINN-05
Diatom;Pinnularia;Pinnularia neomajor;PINN-05;KM349975;	PINN-05
Diatom;Pinnularia;Pinnularia neomajor;PINN-05;KM349983;	PINN-05
Diatom;Pinnularia;Pinnularia neomajor;PINN-05;KM350014;	PINN-05
Diatom;Pinnularia;Pinnularia neomajor;PINN-05;KM349997;	PINN-05
Diatom;Pinnularia;Pinnularia parvulissima;PINN-10;KM349985;	PINN-10
Diatom;Pinnularia;Pinnularia septentrionalis;PINN-11;KM349995;	PINN-11
Diatom;Pinnularia;Pinnularia septentrionalis;PINN-11;KM350008;	PINN-11
Diatom;Pinnularia;Pinnularia shivae;PINN-12;KM350050;	PINN-12
Diatom;Pinnularia;Pinnularia stomatophora;PI024A;KM350019;	PI024A
Diatom;Pinnularia;Pinnularia stomatophora;PI024A;KM350022;	PI024A
Diatom;Pinnularia;Pinnularia subcommutata var. nonfasciata;PINN-13;KM349994;	PINN-13
Diatom;Pinnularia;Pinnularia subcommutata var. nonfasciata;PINN-13;KM350007;	PINN-13
Diatom;Pinnularia;Pinnularia subcommutata var. nonfasciata;PINN-13;KM350010;	PINN-13
Diatom;Pinnularia;Pinnularia subcommutata var. nonfasciata;PINN-13;KM350012;	PINN-13
Diatom;Pinnularia;Pinnularia subgibba;PINN-14;KM349977;	PINN-14
Diatom;Pinnularia;Pinnularia subgibba;PINN-14;KM349971;	PINN-14
Diatom;Pinnularia;Pinnularia valida;PINN-15;KM350037;	PINN-15
Diatom;Pinnularia;Pinnularia valida;PINN-15;KM350038;	PINN-15
Diatom;Pinnularia;Pinnularia viridiformis;PINN-16;KM084981;	PINN-16
Diatom;Pinnularia;Pinnularia viridiformis;PINN-16;KM349973;	PINN-16
Diatom;Pinnularia;Pinnularia viridiformis;PINN-16;KM349976;	PINN-16
Diatom;Pinnularia;Pinnularia viridis;PI007A;KM350020;	PI007A
Diatom;Pinnularia;Pinnularia viridis;PI007A;KM350021;	PI007A
Diatom;Placoneis;Placoneis abiskoensis;PLAC-09;KJ011850;	PLAC-09
Diatom;Placoneis;Placoneis elginensis;ZZZ871;HQ912471;	ZZZ871
Diatom;Placoneis;Placoneis elginensis;ZZZ871;KJ011852;	ZZZ871
Diatom;Planothidium;Planothidium lanceolatum;ZZZ897;KM084943;	ZZZ897
Diatom;Planothidium;Planothidium lanceolatum;ZZZ897;KJ658393;	ZZZ897
Diatom;Planothidium;Planothidium caputium;PLAN-07;KM084938;	PLAN-07
Diatom;Planothidium;Planothidium frequentissimum;ZZZ896;KJ658392;	ZZZ896
Diatom;Planothidium;Planothidium frequentissimum;ZZZ896;KM084961;	ZZZ896
Diatom;Planothidium;Planothidium frequentissimum;ZZZ896;KM084962;	ZZZ896
Diatom;Planothidium;Planothidium lanceolatum;ZZZ897;KJ658389;	ZZZ897
Diatom;Pseudostaurosira;Pseudostaurosira brevistriata;PS001A;AB430688;	PS001A
Diatom;Rhoicosphenia;Rhoicosphenia abbreviata;RC002A;KJ011854;	RC002A
Diatom;Rhoicosphenia;Rhoicosphenia abbreviata;RC002A;KJ011855;	RC002A
Diatom;Rossithidium;Rossithidium anastasiae;ROSS-03;KJ658396;	ROSS-03
Diatom;Sellaphora;Sellaphora bacillum;ZZZ925;AY571745;	ZZZ925
Diatom;Sellaphora;Sellaphora pupula;SL001A;KM084945;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KM084958;	SL001A
Diatom;Sellaphora;Sellaphora seminulum;SL002A;KM084937;	SL002A
Diatom;Sellaphora;Sellaphora laevissima;ZZZ864;EF143263;	ZZZ864
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143318;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143317;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143314;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143312;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143308;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143306;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143302;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143300;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143298;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143297;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143296;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143294;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143292;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143285;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143278;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143275;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143272;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143271;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143270;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143269;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143266;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;EF143264;	SL001A
Diatom;Sellaphora;Sellaphora blackfordensis;SELL-14;JN418669;	SELL-14
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911815;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911814;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911813;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911812;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911811;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911810;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911809;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911808;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911807;	SL001A
Diatom;Sellaphora;Sellaphora pupula;SL001A;KC911806;	SL001A
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;KC911805;	SELL-13
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;KC911804;	SELL-13
Diatom;Sellaphora;Sellaphora auldreekie;SELL-13;KC911803;	SELL-13
