Strain	Code
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682455;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682456;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682457;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682458;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682459;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nAY682460;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nBFU89900;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nDTM99_33;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nDTM99_49;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF426792;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF426793;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF426794;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF426795;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF426796;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF426797;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF426797;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF431847;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF431848;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF431849;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF431850;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF431851;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455920;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455921;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455922;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455923;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455924;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455925;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455926;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455927;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455928;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455929;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455930;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455931;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455932;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455933;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455935;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455937;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455938;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455939;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455940;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455941;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455942;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455943;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455944;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455945;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455948;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455950;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455951;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455953;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455954;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455955;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455956;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455957;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455958;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455959;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455960;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455961;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455962;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455963;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455964;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455965;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455966;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455967;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455968;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455969;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455970;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455971;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455972;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455973;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455974;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455975;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455977;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455978;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455979;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455980;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455981;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF455982;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF460489;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF460490;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF460491;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF460492;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF460493;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF460494;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF589158;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nEF589159;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nFJ858974;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nGQ405018;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHE573279;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHE573280;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHE573281;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHE573282;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHE573283;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184441;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184443;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184444;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184447;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184448;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184449;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184450;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184451;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184452;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ184455;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ710608;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nHQ710633;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJN573801;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJN573802;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJQ967036;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681201;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681202;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681203;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681205;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681206;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681207;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681208;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681209;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681210;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681211;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681212;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681213;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681215;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681216;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681217;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681218;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681220;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681221;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681222;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681223;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681224;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nJX681226;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nKC184837;	Yellow_green_Algae
Diatom;Actinocyclus;Actinocyclus;AT9999;nKC309594;	AT9999
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nKC346361;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nKF523894;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nKF523909;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nKF523912;	Yellow_green_Algae
Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;Yellow_green_Algae;nKF523915;	Yellow_green_Algae
Diatom;Eolimna;Eolimna minima;EOLI-01;s495;	EOLI-01
Diatom;Fistulifera;Fistulifera saprophila;FIST-01;gKF959644;	FIST-01
Diatom;Nitzschia;Nitzschia fonticola;NI002A;53;	NI002A
Diatom;Nitzschia;Nitzschia fonticola;NI002A;461;	NI002A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gKC736607;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gKC736606;	NI043A
Diatom;Staurosira;Staurosira elliptica;SR002A;451;	SR002A
Diatom;Nitzschia;Nitzschia sociabilis;NI166A;501;	NI166A
Diatom;Reimeria;Reimeria sinuata;RE001A;860;	RE001A
Diatom;Navicula;Navicula tripunctata;NA095A;gAM710495;	NA095A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675102;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675101;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675100;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675099;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675098;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675097;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675096;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675095;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675094;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675093;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675092;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675091;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675090;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675089;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675088;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675087;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675086;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675085;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675084;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675083;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675082;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675081;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675080;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675079;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675078;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675077;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675076;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675075;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675074;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675073;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675072;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675071;	NI043A
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675115;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675114;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675113;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675112;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675111;	NITZ-03
Diatom;Fistulifera;Fistulifera saprophila;FIST-01;gKF959644;	FIST-01
Diatom;Nitzschia;Nitzschia fonticola;NI002A;53;	NI002A
Diatom;Nitzschia;Nitzschia fonticola;NI002A;461;	NI002A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gKC736607;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gKC736606;	NI043A
Diatom;Staurosira;Staurosira elliptica;SR002A;451;	SR002A
Diatom;Nitzschia;Nitzschia sociabilis;NI166A;501;	NI166A
Diatom;Reimeria;Reimeria sinuata;RE001A;860;	RE001A
Diatom;Navicula;Navicula tripunctata;NA095A;gAM710495;	NA095A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675102;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675101;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675100;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675099;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675098;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675097;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675096;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675095;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675094;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675093;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675092;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675091;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675090;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675089;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675088;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675087;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675086;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675085;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675084;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675083;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675082;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675081;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675080;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675079;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675078;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675077;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675076;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675075;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675074;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675073;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675072;	NI043A
Diatom;Nitzschia;Nitzschia inconspicua;NI043A;gHF675071;	NI043A
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675115;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675114;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675113;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675112;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;gHF675111;	NITZ-03
Diatom;Achnanthidium;Achnanthidium pyrenaicum;ACHD-02;80;	ACHD-02
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;140;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;183;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;152;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;60;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;155;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;231;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;238;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;399;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;405;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;417;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;419;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;422;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;424;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;434;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;436;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;437;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;438;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;446;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;447;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;449;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;455;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;456;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;473;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;474;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;477;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;542;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;544;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;545;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;546;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;547;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;548;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;550;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;557;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;727;	ZZZ959
Diatom;Achnanthidium;Achnanthidium pyrenaicum;ACHD-02;903;	ACHD-02
Diatom;Achnanthidium;Achnanthidium pyrenaicum;ACHD-02;666;	ACHD-02
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;552;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;554;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;560;	ZZZ959
Diatom;Achnanthidium;Achnanthidium minutissimum;ZZZ959;562;	ZZZ959
